[Fri Mar 31 15:27:24.112618 2017] [:error] [pid 12409] [client 127.0.0.1:52267] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/index.php on line 40, referer: http://dbi-poc.com/
[Fri Mar 31 15:27:24.112670 2017] [:error] [pid 12409] [client 127.0.0.1:52267] PHP Stack trace:, referer: http://dbi-poc.com/
[Fri Mar 31 15:27:24.112677 2017] [:error] [pid 12409] [client 127.0.0.1:52267] PHP   1. {main}() /var/www/html/poc/http_long_polling/index.php:0, referer: http://dbi-poc.com/
[Fri Mar 31 15:27:24.112682 2017] [:error] [pid 12409] [client 127.0.0.1:52267] PHP   2. date() /var/www/html/poc/http_long_polling/index.php:40, referer: http://dbi-poc.com/
[Fri Mar 31 15:27:24.806673 2017] [:error] [pid 8806] [client 127.0.0.1:52269] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:27:24.806691 2017] [:error] [pid 8806] [client 127.0.0.1:52269] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:27:24.806695 2017] [:error] [pid 8806] [client 127.0.0.1:52269] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:27:24.806697 2017] [:error] [pid 8806] [client 127.0.0.1:52269] PHP   2. date() /var/www/html/poc/http_long_polling/ajax_polling_long.php:14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:33:37.616949 2017] [:error] [pid 26587] [client 127.0.0.1:52361] script '/var/www/html/poc/admin.php' not found or unable to stat
[Fri Mar 31 15:34:05.366490 2017] [:error] [pid 8808] [client 127.0.0.1:52292] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366490 2017] [:error] [pid 8806] [client 127.0.0.1:52359] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366490 2017] [:error] [pid 29276] [client 127.0.0.1:52358] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366490 2017] [:error] [pid 8803] [client 127.0.0.1:52283] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366521 2017] [:error] [pid 8808] [client 127.0.0.1:52292] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366523 2017] [:error] [pid 8806] [client 127.0.0.1:52359] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366535 2017] [:error] [pid 29276] [client 127.0.0.1:52358] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366536 2017] [:error] [pid 8803] [client 127.0.0.1:52283] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366541 2017] [:error] [pid 8806] [client 127.0.0.1:52359] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366541 2017] [:error] [pid 8808] [client 127.0.0.1:52292] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366543 2017] [:error] [pid 8803] [client 127.0.0.1:52283] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366543 2017] [:error] [pid 29276] [client 127.0.0.1:52358] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366545 2017] [:error] [pid 8806] [client 127.0.0.1:52359] PHP   2. date() /var/www/html/poc/http_long_polling/ajax_polling_long.php:14, referer: http://dbi-poc.com/http_long_polling/
